Athlete Num 1,,,,,
Trial: 1,,,,,
Total time: 0h 0min 24s,,,,,
Acc Readings,1403075182,9,-1,11,1
Acc Readings,1403075182,11,-2,10,1
Acc Readings,1403075182,9,-3,12,1
Acc Readings,1403075182,9,-3,12,1
Acc Readings,1403075182,9,-3,12,1
Acc Readings,1403075182,10,-2,12,1
Acc Readings,1403075182,9,-3,12,1
Acc Readings,1403075182,10,-4,13,1
Acc Readings,1403075182,9,-2,11,1
Acc Readings,1403075182,7,-4,13,1
Acc Readings,1403075182,9,-3,12,1
Acc Readings,1403075182,8,-4,13,1
Acc Readings,1403075182,11,-3,12,1
Acc Readings,1403075182,11,-4,14,1
Acc Readings,1403075182,10,-3,12,1
Acc Readings,1403075182,10,-4,11,1
Acc Readings,1403075182,9,-4,13,1
Acc Readings,1403075182,9,-4,11,1
Acc Readings,1403075182,9,-4,13,1
Acc Readings,1403075182,10,-3,12,1
Acc Readings,1403075182,9,-4,13,1
Acc Readings,1403075182,9,-4,11,1
Acc Readings,1403075182,11,-4,12,1
Acc Readings,1403075182,10,-1,10,1
Acc Readings,1403075182,9,-2,10,1
Acc Readings,1403075182,10,-2,10,1
Acc Readings,1403075182,10,-1,11,1
Acc Readings,1403075182,10,1,11,1
Acc Readings,1403075182,11,0,11,1
Acc Readings,1403075182,12,0,12,1
Acc Readings,1403075182,12,0,13,1
Acc Readings,1403075182,10,2,12,1
Acc Readings,1403075182,12,2,12,1
Acc Readings,1403075182,11,4,13,1
Acc Readings,1403075182,13,4,12,1
Acc Readings,1403075182,11,1,14,1
Acc Readings,1403075182,14,2,11,1
Acc Readings,1403075182,12,4,14,1
Acc Readings,1403075182,10,5,13,1
Acc Readings,1403075182,11,2,13,1
Acc Readings,1403075182,12,3,11,1
Acc Readings,1403075182,11,2,13,1
Acc Readings,1403075182,10,2,12,1
Acc Readings,1403075182,11,1,14,1
Acc Readings,1403075182,11,2,10,1
Acc Readings,1403075182,11,0,10,1
Acc Readings,1403075182,11,1,11,1
Acc Readings,1403075182,9,1,12,1
Acc Readings,1403075182,11,0,12,1
Acc Readings,1403075182,12,-1,12,1
Acc Readings,1403075182,9,0,12,1
Acc Readings,1403075182,11,-1,14,1
Acc Readings,1403075182,10,1,11,1
Acc Readings,1403075182,9,0,10,1
Acc Readings,1403075182,12,0,9,1
Acc Readings,1403075182,10,0,10,1
Acc Readings,1403075182,10,1,11,1
Acc Readings,1403075182,11,0,10,1
Acc Readings,1403075182,11,0,9,1
Acc Readings,1403075182,12,-1,11,1
Acc Readings,1403075182,12,-3,10,1
Acc Readings,1403075182,10,1,10,1
Acc Readings,1403075182,12,-1,9,1
Acc Readings,1403075182,13,0,10,1
Acc Readings,1403075182,13,0,9,1
Acc Readings,1403075182,13,-1,9,1
Acc Readings,1403075183,12,0,11,1
Acc Readings,1403075183,11,0,11,1
Acc Readings,1403075183,12,1,9,1
Acc Readings,1403075183,11,2,11,1
Acc Readings,1403075183,12,-1,11,1
